Date,DJI_value(t-1),DJI_value(t-2),DJI_value(t-3),DJI_value(t-4),DJI_value(t-5),DJI_value(t-6),DJI_value(t-7),DJI_value(t-8),DJI_value(t-9),DJI_value(t-10),DJI_direction
30/3/2010,1,1,1,0,1,1,0,1,1,1,1
31/3/2010,1,1,1,1,0,1,1,0,1,1,0
1/4/2010,0,1,1,1,1,0,1,1,0,1,1
5/4/2010,1,0,1,1,1,1,0,1,1,0,1
6/4/2010,1,1,0,1,1,1,1,0,1,1,0
7/4/2010,0,1,1,0,1,1,1,1,0,1,0
8/4/2010,0,0,1,1,0,1,1,1,1,0,1
9/4/2010,1,0,0,1,1,0,1,1,1,1,1
12/4/2010,1,1,0,0,1,1,0,1,1,1,1
13/4/2010,1,1,1,0,0,1,1,0,1,1,1
14/4/2010,1,1,1,1,0,0,1,1,0,1,1
15/4/2010,1,1,1,1,1,0,0,1,1,0,1
16/4/2010,1,1,1,1,1,1,0,0,1,1,0
19/4/2010,0,1,1,1,1,1,1,0,0,1,1
20/4/2010,1,0,1,1,1,1,1,1,0,0,1
21/4/2010,1,1,0,1,1,1,1,1,1,0,1
22/4/2010,1,1,1,0,1,1,1,1,1,1,1
23/4/2010,1,1,1,1,0,1,1,1,1,1,1
26/4/2010,1,1,1,1,1,0,1,1,1,1,1
27/4/2010,1,1,1,1,1,1,0,1,1,1,0
28/4/2010,0,1,1,1,1,1,1,0,1,1,1
29/4/2010,1,0,1,1,1,1,1,1,0,1,1
30/4/2010,1,1,0,1,1,1,1,1,1,0,0
3/5/2010,0,1,1,0,1,1,1,1,1,1,1
4/5/2010,1,0,1,1,0,1,1,1,1,1,0
5/5/2010,0,1,0,1,1,0,1,1,1,1,0
6/5/2010,0,0,1,0,1,1,0,1,1,1,0
7/5/2010,0,0,0,1,0,1,1,0,1,1,0
10/5/2010,0,0,0,0,1,0,1,1,0,1,1
11/5/2010,1,0,0,0,0,1,0,1,1,0,0
12/5/2010,0,1,0,0,0,0,1,0,1,1,1
13/5/2010,1,0,1,0,0,0,0,1,0,1,0
14/5/2010,0,1,0,1,0,0,0,0,1,0,0
17/5/2010,0,0,1,0,1,0,0,0,0,1,1
18/5/2010,1,0,0,1,0,1,0,0,0,0,0
19/5/2010,0,1,0,0,1,0,1,0,0,0,0
20/5/2010,0,0,1,0,0,1,0,1,0,0,0
21/5/2010,0,0,0,1,0,0,1,0,1,0,1
24/5/2010,1,0,0,0,1,0,0,1,0,1,0
25/5/2010,0,1,0,0,0,1,0,0,1,0,0
26/5/2010,0,0,1,0,0,0,1,0,0,1,0
27/5/2010,0,0,0,1,0,0,0,1,0,0,1
28/5/2010,1,0,0,0,1,0,0,0,1,0,0
1/6/2010,0,1,0,0,0,1,0,0,0,1,0
2/6/2010,0,0,1,0,0,0,1,0,0,0,1
3/6/2010,1,0,0,1,0,0,0,1,0,0,1
4/6/2010,1,1,0,0,1,0,0,0,1,0,0
7/6/2010,0,1,1,0,0,1,0,0,0,1,0
8/6/2010,0,0,1,1,0,0,1,0,0,0,1
9/6/2010,1,0,0,1,1,0,0,1,0,0,0
10/6/2010,0,1,0,0,1,1,0,0,1,0,1
11/6/2010,1,0,1,0,0,1,1,0,0,1,1
14/6/2010,1,1,0,1,0,0,1,1,0,0,0
15/6/2010,0,1,1,0,1,0,0,1,1,0,1
16/6/2010,1,0,1,1,0,1,0,0,1,1,1
17/6/2010,1,1,0,1,1,0,1,0,0,1,1
18/6/2010,1,1,1,0,1,1,0,1,0,0,1
21/6/2010,1,1,1,1,0,1,1,0,1,0,0
22/6/2010,0,1,1,1,1,0,1,1,0,1,0
23/6/2010,0,0,1,1,1,1,0,1,1,0,1
24/6/2010,1,0,0,1,1,1,1,0,1,1,0
25/6/2010,0,1,0,0,1,1,1,1,0,1,0
28/6/2010,0,0,1,0,0,1,1,1,1,0,0
29/6/2010,0,0,0,1,0,0,1,1,1,1,0
30/6/2010,0,0,0,0,1,0,0,1,1,1,0
1/7/2010,0,0,0,0,0,1,0,0,1,1,0
2/7/2010,0,0,0,0,0,0,1,0,0,1,0
6/7/2010,0,0,0,0,0,0,0,1,0,0,1
7/7/2010,1,0,0,0,0,0,0,0,1,0,1
8/7/2010,1,1,0,0,0,0,0,0,0,1,1
9/7/2010,1,1,1,0,0,0,0,0,0,0,1
12/7/2010,1,1,1,1,0,0,0,0,0,0,1
13/7/2010,1,1,1,1,1,0,0,0,0,0,1
14/7/2010,1,1,1,1,1,1,0,0,0,0,1
15/7/2010,1,1,1,1,1,1,1,0,0,0,0
16/7/2010,0,1,1,1,1,1,1,1,0,0,0
19/7/2010,0,0,1,1,1,1,1,1,1,0,1
20/7/2010,1,0,0,1,1,1,1,1,1,1,1
21/7/2010,1,1,0,0,1,1,1,1,1,1,0
22/7/2010,0,1,1,0,0,1,1,1,1,1,1
23/7/2010,1,0,1,1,0,0,1,1,1,1,1
26/7/2010,1,1,0,1,1,0,0,1,1,1,1
27/7/2010,1,1,1,0,1,1,0,0,1,1,1
28/7/2010,1,1,1,1,0,1,1,0,0,1,0
29/7/2010,0,1,1,1,1,0,1,1,0,0,0
30/7/2010,0,0,1,1,1,1,0,1,1,0,0
2/8/2010,0,0,0,1,1,1,1,0,1,1,1
3/8/2010,1,0,0,0,1,1,1,1,0,1,0
4/8/2010,0,1,0,0,0,1,1,1,1,0,1
5/8/2010,1,0,1,0,0,0,1,1,1,1,0
6/8/2010,0,1,0,1,0,0,0,1,1,1,0
9/8/2010,0,0,1,0,1,0,0,0,1,1,1
10/8/2010,1,0,0,1,0,1,0,0,0,1,0
11/8/2010,0,1,0,0,1,0,1,0,0,0,0
12/8/2010,0,0,1,0,0,1,0,1,0,0,0
13/8/2010,0,0,0,1,0,0,1,0,1,0,0
16/8/2010,0,0,0,0,1,0,0,1,0,1,0
17/8/2010,0,0,0,0,0,1,0,0,1,0,1
18/8/2010,1,0,0,0,0,0,1,0,0,1,1
19/8/2010,1,1,0,0,0,0,0,1,0,0,0
20/8/2010,0,1,1,0,0,0,0,0,1,0,0
23/8/2010,0,0,1,1,0,0,0,0,0,1,0
24/8/2010,0,0,0,1,1,0,0,0,0,0,0
25/8/2010,0,0,0,0,1,1,0,0,0,0,1
26/8/2010,1,0,0,0,0,1,1,0,0,0,0
27/8/2010,0,1,0,0,0,0,1,1,0,0,1
30/8/2010,1,0,1,0,0,0,0,1,1,0,0
